"Category","Percentage"
"Less than high school",1.3
"High school diploma or GED",5.2
"Some college or associate degree",13.2
"Bachelor's degree",40.3
"Graduate or professional degree",40
"High school graduate or higher",98.7
"Bachelor's degree or higher",80.3
