"Category","Percentage"
"Less than high school",39.9
"High school diploma or GED",18.2
"Some college or associate degree",19.3
"Bachelor's degree",15
"Graduate or professional degree",7.6
"High school graduate or higher",60.1
"Bachelor's degree or higher",22.5
