"Category","Percentage"
"Less than high school",6
"High school diploma or GED",10.6
"Some college or associate degree",25.2
"Bachelor's degree",36.9
"Graduate or professional degree",21.2
"High school graduate or higher",94
"Bachelor's degree or higher",58.1
