"Category","Percentage"
"Less than high school",3.6
"High school diploma or GED",17.2
"Some college or associate degree",35.8
"Bachelor's degree",25.9
"Graduate or professional degree",17.5
"High school graduate or higher",96.4
"Bachelor's degree or higher",43.4
