"Category","Percentage"
"Less than high school",20
"High school diploma or GED",18.8
"Some college or associate degree",35.5
"Bachelor's degree",18.7
"Graduate or professional degree",7
"High school graduate or higher",80
"Bachelor's degree or higher",25.7
