"Category","Percentage"
"Less than high school",6.3
"High school diploma or GED",16.6
"Some college or associate degree",20.5
"Bachelor's degree",27.2
"Graduate or professional degree",29.4
"High school graduate or higher",93.7
"Bachelor's degree or higher",56.6
