"Category","Percentage"
"Less than high school",18.5
"High school diploma or GED",18.6
"Some college or associate degree",29.7
"Bachelor's degree",10.3
"Graduate or professional degree",23
"High school graduate or higher",81.5
"Bachelor's degree or higher",33.3
