"Category","Percentage"
"Less than high school",1.9
"High school diploma or GED",7.2
"Some college or associate degree",18.5
"Bachelor's degree",44.2
"Graduate or professional degree",28.2
"High school graduate or higher",98.1
"Bachelor's degree or higher",72.4
