"Category","Percentage"
"Less than high school",13.5
"High school diploma or GED",23.4
"Some college or associate degree",34.7
"Bachelor's degree",20.7
"Graduate or professional degree",7.7
"High school graduate or higher",86.5
"Bachelor's degree or higher",28.4
