"Category","Percentage"
"Less than high school",13.8
"High school diploma or GED",21.2
"Some college or associate degree",32.4
"Bachelor's degree",20.3
"Graduate or professional degree",12.3
"High school graduate or higher",86.2
"Bachelor's degree or higher",32.6
