"Category","Percentage"
"Less than high school",1.8
"High school diploma or GED",5
"Some college or associate degree",14.7
"Bachelor's degree",45.6
"Graduate or professional degree",32.9
"High school graduate or higher",98.2
"Bachelor's degree or higher",78.4
