"Category","Percentage"
"Less than high school",13.4
"High school diploma or GED",18.9
"Some college or associate degree",29.7
"Bachelor's degree",22.4
"Graduate or professional degree",15.5
"High school graduate or higher",86.6
"Bachelor's degree or higher",38
