"Category","Percentage"
"Less than high school",17.7
"High school diploma or GED",17
"Some college or associate degree",21.4
"Bachelor's degree",30.6
"Graduate or professional degree",13.3
"High school graduate or higher",82.3
"Bachelor's degree or higher",43.9
