"Category","Percentage"
"Less than high school",5.5
"High school diploma or GED",12.7
"Some college or associate degree",39.3
"Bachelor's degree",31.8
"Graduate or professional degree",10.8
"High school graduate or higher",94.5
"Bachelor's degree or higher",42.5
