"Category","Percentage"
"Less than high school",17.7
"High school diploma or GED",15.9
"Some college or associate degree",24.6
"Bachelor's degree",24.6
"Graduate or professional degree",17.2
"High school graduate or higher",82.3
"Bachelor's degree or higher",41.8
