"Category","Percentage"
"Less than high school",24.8
"High school diploma or GED",27.9
"Some college or associate degree",32.6
"Bachelor's degree",10.7
"Graduate or professional degree",4
"High school graduate or higher",75.2
"Bachelor's degree or higher",14.7
