"Category","Percentage"
"Less than high school",15.3
"High school diploma or GED",18
"Some college or associate degree",28
"Bachelor's degree",21.9
"Graduate or professional degree",16.9
"High school graduate or higher",84.7
"Bachelor's degree or higher",38.8
