"Category","Percentage"
"Less than high school",1.3
"High school diploma or GED",9.1
"Some college or associate degree",12.9
"Bachelor's degree",39.8
"Graduate or professional degree",36.9
"High school graduate or higher",98.7
"Bachelor's degree or higher",76.7
