"Category","Percentage"
"Less than high school",4.4
"High school diploma or GED",18.3
"Some college or associate degree",40.3
"Bachelor's degree",27.4
"Graduate or professional degree",9.6
"High school graduate or higher",95.6
"Bachelor's degree or higher",37
