"Category","Percentage"
"Less than high school",4.2
"High school diploma or GED",8.1
"Some college or associate degree",24.6
"Bachelor's degree",35.4
"Graduate or professional degree",27.6
"High school graduate or higher",95.8
"Bachelor's degree or higher",63
