"Category","Percentage"
"Less than high school",9.3
"High school diploma or GED",22.7
"Some college or associate degree",33.1
"Bachelor's degree",29.3
"Graduate or professional degree",5.6
"High school graduate or higher",90.7
"Bachelor's degree or higher",34.8
