"Category","Percentage"
"Less than high school",19.4
"High school diploma or GED",16.6
"Some college or associate degree",22.4
"Bachelor's degree",26.3
"Graduate or professional degree",15.4
"High school graduate or higher",80.6
"Bachelor's degree or higher",41.6
