"Category","Percentage"
"Less than high school",13.9
"High school diploma or GED",18.5
"Some college or associate degree",21.7
"Bachelor's degree",28.5
"Graduate or professional degree",17.4
"High school graduate or higher",86.1
"Bachelor's degree or higher",46
