"Category","Percentage"
"Less than high school",14.5
"High school diploma or GED",24.6
"Some college or associate degree",33.7
"Bachelor's degree",19.6
"Graduate or professional degree",7.5
"High school graduate or higher",85.5
"Bachelor's degree or higher",27.1
