"Category","Percentage"
"Less than high school",2.9
"High school diploma or GED",12.4
"Some college or associate degree",21.1
"Bachelor's degree",37.5
"Graduate or professional degree",26.2
"High school graduate or higher",97.1
"Bachelor's degree or higher",63.7
