"Category","Percentage"
"Less than high school",12.7
"High school diploma or GED",15.6
"Some college or associate degree",22.5
"Bachelor's degree",38
"Graduate or professional degree",11.2
"High school graduate or higher",87.3
"Bachelor's degree or higher",49.2
