"Category","Percentage"
"Less than high school",4.8
"High school diploma or GED",12.3
"Some college or associate degree",24.9
"Bachelor's degree",40.5
"Graduate or professional degree",17.5
"High school graduate or higher",95.2
"Bachelor's degree or higher",58
