"Category","Percentage"
"Less than high school",8.3
"High school diploma or GED",14.5
"Some college or associate degree",29.7
"Bachelor's degree",31
"Graduate or professional degree",16.4
"High school graduate or higher",91.7
"Bachelor's degree or higher",47.5
