"Category","Percentage"
"Less than high school",4.8
"High school diploma or GED",12.3
"Some college or associate degree",28
"Bachelor's degree",35.9
"Graduate or professional degree",19
"High school graduate or higher",95.2
"Bachelor's degree or higher",54.9
