"Category","Percentage"
"Less than high school",3.5
"High school diploma or GED",12.2
"Some college or associate degree",17.9
"Bachelor's degree",45.4
"Graduate or professional degree",21
"High school graduate or higher",96.5
"Bachelor's degree or higher",66.3
