"Category","Percentage"
"Less than high school",41.4
"High school diploma or GED",21.9
"Some college or associate degree",22.2
"Bachelor's degree",9.5
"Graduate or professional degree",5.1
"High school graduate or higher",58.6
"Bachelor's degree or higher",14.5
