"Category","Percentage"
"Less than high school",7.5
"High school diploma or GED",23.3
"Some college or associate degree",27.9
"Bachelor's degree",30.4
"Graduate or professional degree",11
"High school graduate or higher",92.5
"Bachelor's degree or higher",41.4
