"Category","Percentage"
"Less than high school",9.6
"High school diploma or GED",21.2
"Some college or associate degree",24.2
"Bachelor's degree",32.4
"Graduate or professional degree",12.7
"High school graduate or higher",90.4
"Bachelor's degree or higher",45
