"Category","Percentage"
"Less than high school",21.9
"High school diploma or GED",17.5
"Some college or associate degree",37.2
"Bachelor's degree",13.2
"Graduate or professional degree",10.3
"High school graduate or higher",78.1
"Bachelor's degree or higher",23.4
