"Category","Percentage"
"Less than high school",27.5
"High school diploma or GED",22.5
"Some college or associate degree",24
"Bachelor's degree",21.8
"Graduate or professional degree",4.2
"High school graduate or higher",72.5
"Bachelor's degree or higher",26
