"Category","Percentage"
"Less than high school",29.6
"High school diploma or GED",27.5
"Some college or associate degree",28.7
"Bachelor's degree",10
"Graduate or professional degree",4.2
"High school graduate or higher",70.4
"Bachelor's degree or higher",14.1
