"Category","Percentage"
"Less than high school",4.7
"High school diploma or GED",12.6
"Some college or associate degree",27.7
"Bachelor's degree",33.6
"Graduate or professional degree",21.4
"High school graduate or higher",95.3
"Bachelor's degree or higher",55
