"Category","Percentage"
"Less than high school",11.9
"High school diploma or GED",24.7
"Some college or associate degree",36.5
"Bachelor's degree",17.6
"Graduate or professional degree",9.2
"High school graduate or higher",88.1
"Bachelor's degree or higher",26.8
