"Category","Percentage"
"Less than high school",2.7
"High school diploma or GED",9.1
"Some college or associate degree",19.7
"Bachelor's degree",38.5
"Graduate or professional degree",30
"High school graduate or higher",97.3
"Bachelor's degree or higher",68.5
