"Category","Percentage"
"Less than high school",16.4
"High school diploma or GED",17.5
"Some college or associate degree",24.5
"Bachelor's degree",32.9
"Graduate or professional degree",8.7
"High school graduate or higher",83.6
"Bachelor's degree or higher",41.6
