"Category","Percentage"
"Less than high school",4.3
"High school diploma or GED",10.8
"Some college or associate degree",15.3
"Bachelor's degree",37.9
"Graduate or professional degree",31.7
"High school graduate or higher",95.7
"Bachelor's degree or higher",69.6
