"Category","Percentage"
"Less than high school",11.5
"High school diploma or GED",15.1
"Some college or associate degree",24
"Bachelor's degree",37.3
"Graduate or professional degree",12.1
"High school graduate or higher",88.5
"Bachelor's degree or higher",49.4
