"Category","Percentage"
"Less than high school",38.1
"High school diploma or GED",16.9
"Some college or associate degree",18.5
"Bachelor's degree",15.3
"Graduate or professional degree",11.2
"High school graduate or higher",61.9
"Bachelor's degree or higher",26.5
