"Category","Percentage"
"Less than high school",1.4
"High school diploma or GED",5.7
"Some college or associate degree",19.5
"Bachelor's degree",40.4
"Graduate or professional degree",32.9
"High school graduate or higher",98.6
"Bachelor's degree or higher",73.4
