"Category","Percentage"
"Less than high school",2.4
"High school diploma or GED",19.6
"Some college or associate degree",28.6
"Bachelor's degree",30.9
"Graduate or professional degree",18.4
"High school graduate or higher",97.6
"Bachelor's degree or higher",49.4
