"Category","Percentage"
"Less than high school",8
"High school diploma or GED",38.1
"Some college or associate degree",28.4
"Bachelor's degree",14.2
"Graduate or professional degree",11.2
"High school graduate or higher",92
"Bachelor's degree or higher",25.4
