"Category","Percentage"
"Less than high school",21.3
"High school diploma or GED",28.5
"Some college or associate degree",30.5
"Bachelor's degree",9
"Graduate or professional degree",10.6
"High school graduate or higher",78.7
"Bachelor's degree or higher",19.6
