"Category","Percentage"
"Less than high school",4
"High school diploma or GED",17.9
"Some college or associate degree",28.5
"Bachelor's degree",31.7
"Graduate or professional degree",17.8
"High school graduate or higher",96
"Bachelor's degree or higher",49.6
