"Category","Percentage"
"Less than high school",10.7
"High school diploma or GED",23.3
"Some college or associate degree",29.6
"Bachelor's degree",28.4
"Graduate or professional degree",8
"High school graduate or higher",89.3
"Bachelor's degree or higher",36.4
