"Category","Percentage"
"Less than high school",5.7
"High school diploma or GED",6.6
"Some college or associate degree",14.7
"Bachelor's degree",37.8
"Graduate or professional degree",35.1
"High school graduate or higher",94.3
"Bachelor's degree or higher",73
