"Category","Percentage"
"Less than high school",5.9
"High school diploma or GED",13.3
"Some college or associate degree",27.7
"Bachelor's degree",30.8
"Graduate or professional degree",22.4
"High school graduate or higher",94.1
"Bachelor's degree or higher",53.1
