"Category","Percentage"
"Less than high school",10.7
"High school diploma or GED",18.6
"Some college or associate degree",29.1
"Bachelor's degree",27.8
"Graduate or professional degree",13.8
"High school graduate or higher",89.3
"Bachelor's degree or higher",41.6
