"Category","Percentage"
"Less than high school",20.7
"High school diploma or GED",19.2
"Some college or associate degree",26
"Bachelor's degree",26
"Graduate or professional degree",8.1
"High school graduate or higher",79.3
"Bachelor's degree or higher",34.1
