"Category","Percentage"
"Less than high school",13.8
"High school diploma or GED",13.3
"Some college or associate degree",26.6
"Bachelor's degree",28.8
"Graduate or professional degree",17.5
"High school graduate or higher",86.2
"Bachelor's degree or higher",46.2
