"Category","Percentage"
"Less than high school",2.4
"High school diploma or GED",12.1
"Some college or associate degree",18.2
"Bachelor's degree",39.5
"Graduate or professional degree",27.9
"High school graduate or higher",97.6
"Bachelor's degree or higher",67.4
