"Category","Percentage"
"Less than high school",4.5
"High school diploma or GED",17.5
"Some college or associate degree",23.1
"Bachelor's degree",31.5
"Graduate or professional degree",23.4
"High school graduate or higher",95.5
"Bachelor's degree or higher",54.8
