"Category","Percentage"
"Less than high school",6.4
"High school diploma or GED",15.3
"Some college or associate degree",21.5
"Bachelor's degree",36.2
"Graduate or professional degree",20.5
"High school graduate or higher",93.6
"Bachelor's degree or higher",56.8
