"Category","Percentage"
"Less than high school",13.5
"High school diploma or GED",12.2
"Some college or associate degree",18
"Bachelor's degree",31.4
"Graduate or professional degree",25
"High school graduate or higher",86.5
"Bachelor's degree or higher",56.4
