"Category","Percentage"
"Less than high school",4.6
"High school diploma or GED",14.9
"Some college or associate degree",15.2
"Bachelor's degree",33.6
"Graduate or professional degree",31.7
"High school graduate or higher",95.4
"Bachelor's degree or higher",65.3
