"Category","Percentage"
"Less than high school",20
"High school diploma or GED",24.9
"Some college or associate degree",34.7
"Bachelor's degree",17.5
"Graduate or professional degree",2.8
"High school graduate or higher",80
"Bachelor's degree or higher",20.4
