"Category","Percentage"
"Less than high school",14.6
"High school diploma or GED",25.2
"Some college or associate degree",41
"Bachelor's degree",17.3
"Graduate or professional degree",2
"High school graduate or higher",85.4
"Bachelor's degree or higher",19.2
