"Category","Percentage"
"Less than high school",1.3
"High school diploma or GED",12.4
"Some college or associate degree",15.4
"Bachelor's degree",38.9
"Graduate or professional degree",32.1
"High school graduate or higher",98.7
"Bachelor's degree or higher",70.9
