"Category","Percentage"
"Less than high school",5.3
"High school diploma or GED",9
"Some college or associate degree",18.7
"Bachelor's degree",41.2
"Graduate or professional degree",25.7
"High school graduate or higher",94.7
"Bachelor's degree or higher",67
