"Category","Percentage"
"Less than high school",5.2
"High school diploma or GED",16.8
"Some college or associate degree",30.7
"Bachelor's degree",33.7
"Graduate or professional degree",13.6
"High school graduate or higher",94.8
"Bachelor's degree or higher",47.3
